Subcui_checklist,replacement
antipasti,starter
appetizer,starter
beijing dish,main course
breads,bread
curry,main course
deep fried dish,main course
dish,main course
dumpling,fast food
fish dish,main course
fried dish,starter
grilled dish,starter
ham burger,fast food
main course,main course
main dish,main course
meat dish,main course
noodle dish,fast food
one pot dish,soup
pancake and sandwich,fast food
pasta,main course
pizza,main course
pork based dish,main course
poultry based dish,main course
rice,main course
rice dish,main course
rolls,fast food
salad,salad
sandwich,fast food
sashimi,main course
sausage,fast food
snacks,starter
soup,soup
soup and sauce,soup
soup and stew,soup
soups,soup
soups and stew,soup
starter,starter
steak dish,main course
sushi,main course
