classifiers,to be appended,order
lasagna,lasagna,1
lasagne,lasagna,2
linguine,linguine,3
linguini,linguine,4
pansotti,pansotti,5
quesadilla,quesadilla,6
ravioli,ravioli,7
tortelloni,tortelloni,8
fettuccine,fettuccine,9
fettucine,fettuccine,10
fusilli,fusilli,11
spaghetti,spaghetti,12
pizza,pizza,13
pizzas,pizza,14
pasta,pasta,15
pastas,pasta,16
sushi,sushi,17
ziti,ziti,18
biryani,biryani,19
salad,salad,20
salads,salad,21
soup,soup,22
soups,soup,23
noodle,noodle,24
noodles,noodle,25
sandwich,sandwich,26
sandwiches,sandwich,27
burger,burger,28
burgers,burger,29
taco,taco,30
tacos,taco,31
roll,roll,32
rolls,roll,33
dumpling,dumpling,34
dumplings,dumpling,35
curry,curry,36
macaroni,macaroni,37
penne,penne,38
wrap,wrap,39
wraps,wrap,40
combo,combo,41
combos,combo,42
hot pot,hotpot,43
hotpot,hotpot,44
meal,meal,45
meals,meal,46
juice,juice,47
juices,juice,48
lemonade,lemonade,49
lemonades,lemonade,50
squash,squash,51
shake,shake,52
smoothie,smoothie,53
tea,tea,54
milkshake,milkshake,55
milkshakes,milkshake,56
cake,cake,57
cakes,cake,58
cheesecake,cake,59
cupcake,cake,60
cupcakes,cake,61
ice cream,ice cream
ice creams,ice cream,62
icecream,ice cream,63
ice-cream,ice cream,64
icecreams,ice cream,65
ice-creams,ice cream,66
sundae,ice cream,67
pancake,pancake,68
pancakes,pancake,69
pastries,pastry,70
pastry,pastry,71
vermicilli,vermicilli,72
muffin,muffin,73
muffins,muffin,74
pudding,pudding,75
puddings,pudding,76
sorbet,sorbet,77
tart,tart,78
tarts,tart,79
yogurt,yogurt,80
brownie,brownie,81
donuts,donuts,82
doughnut,donuts,83
fudge,fudge,84
jelly,jelly,85
