search,replacement
lasagna,lasagna
lasagne,lasagna
linguine,linguine
linguini,linguine
pansotti,pansotti
quesadilla,quesadilla
ravioli,ravioli
tortelloni,tortelloni
fettuccine,fettuccine
fettucine,fettuccine
fusilli,fusilli
spaghetti,spaghetti
pizza,pizza
pizzas,pizza
pasta,pasta
pastas,pasta
sushi,sushi
ziti,ziti
biryani,biryani
salad,salad
salads,salad
sandwich,sandwich
sandwiches,sandwich
burger,burger
burgers,burger
taco,taco
tacos,taco
roll,roll
rolls,roll
curry,curry
macaroni,macaroni
penne,penne
wrap,wrap
wraps,wrap
risotto,risotto
arrabiata,arrabiata
combo,combo
combos,combo
hot pot,hotpot
hotpot,hotpot
meal,meal
meals,meal
juice,juice
juices,juice
lemonade,lemonade
lemonades,lemonade
squash,squash
shake,shake
smoothie,smoothie
tea,tea
milkshake,milkshake
milkshakes,milkshake
cake,cake
cakes,cake
cheesecake,cake
cupcake,cake
cupcakes,cake
ice creams,ice cream
icecream,ice cream
ice-cream,ice cream
icecreams,ice cream
ice-creams,ice cream
sundae,ice cream
pancake,pancake
pancakes,pancake
pastries,pastry
pastry,pastry
vermicilli,vermicilli
muffin,muffin
muffins,muffin
pudding,pudding
puddings,pudding
sorbet,sorbet
tart,tart
tarts,tart
yogurt,yogurt
brownie,brownie
donuts,donuts
doughnut,donuts
fudge,fudge
jelly,jelly
